,dv,dph,dpg,dqg,dpl,dql
PM,1.3813375459025323e-15,1.334156369275196e-16,1.189181254295193e-16,5.138346470479397e-17,5.924548788349965e-12,4.959975635896685e-13
RM,1.6447736670908287e-15,4.4358015288391136e-17,1.3454246768400798e-16,5.801616493537574e-17,5.9734743011820666e-12,1.1905307244944519e-12
RRM,6.741427629326524e-20,5.277059160044564e-06,3.522199573413623e-21,4.815323087858752e-21,2.2070302487636352e-16,8.153735354304069e-17
PBIM,1.3376901582172805e-15,1.282622677551864e-16,1.1567259789093414e-16,4.9372717725270484e-17,5.730820436799247e-12,4.834984574304236e-13
RBIM,1.598364596684386e-15,4.234502840422442e-17,1.3105764193296948e-16,5.630404483499516e-17,5.795402416495557e-12,1.1638315828593237e-12
RRBIM,6.741610060326948e-20,4.291343770482867e-06,5.461233050901574e-21,2.721595264625304e-21,2.2095963693848704e-16,8.134484511221354e-17
BF,6.192585366532067e-16,9.34832409260055e-06,4.664623198073502e-17,2.0086126697280024e-17,2.0280462371028413e-12,5.954964134348146e-13
RERCM,1.7272969750855717e-09,4.29105431180622e-06,5.065081271899995e-06,2.1810520110747395e-06,5.065025620600368e-06,2.181027587815323e-06
RERRM,1.8353350022692526e-09,5.277058758036154e-06,5.110905588755326e-06,2.2007842466319437e-06,5.1108386504454416e-06,2.2007576561296963e-06
RERCBIM,1.0306159306965187e-15,4.291336576852709e-06,8.186319323117004e-11,3.525074570760519e-11,3.0589453870727145e-12,1.4919599699246603e-12
RERRBIM,1.4985384785542104e-16,4.291348951184315e-06,7.943069655182826e-09,3.420329075513234e-09,8.396460399325361e-13,1.2245606072381484e-13
REBF,1.0356598478468314e-19,9.34832108016568e-06,5.59068294226341e-18,2.4073786904404913e-18,2.93440695140148e-16,1.0993599634605594e-16
MAT,0.0,0.0,0.0,0.0,0.0,0.0
