,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,1.0703719011187663e-12,0.031,3.096489978550096e-06,3.096544801116421e-06,3.1815843383587584e-25
RM,1.1943144526652528e-12,0.031,3.492220188298055e-06,3.492193651854835e-06,4.515234587304689e-25
RRM,8.795098600578134e-07,0.5,1.5502929582439373e-10,6.963195084174206,4.747151086132239e-16
PBIM,1.0359916486618765e-12,0.031,3.0477246632087257e-06,3.0477589484192186e-06,2.9831445158778633e-25
RBIM,1.1601770117777896e-12,0.016,3.4434754405980247e-06,3.4434448942203966e-06,2.2010725911704754e-25
RRBIM,7.152239617975412e-07,0.062,1.2353620470334503e-10,15.154029224434385,8.301491368551356e-17
BF,1.5580544528048652e-06,0.2160000801086426,2.2082148794597828e-06,16.02037705536985,1.190558141993818e-11
RERCM,3.130828016695289e-06,0.172,5.304780996115787e-09,15.159402052364777,4.3304914833987846e-14
RERRM,3.317030039166805e-06,0.719,1.280102499695568e-10,6.966534675010658,2.1268646040430525e-15
RERCBIM,7.152430404546035e-07,0.031,0.0001333293103825033,15.154083739187069,4.4799240376857946e-11
RERRBIM,7.17118885361161e-07,0.04399991035461426,0.004734252402381409,15.153967193876888,2.2637095469031877e-09
REBF,1.5580535134295266e-06,0.015,4.832914363844809e-11,16.020375672522537,1.8094868227564244e-17
MAT,0.0,0.0019415,2.97244369523381e-08,2.97244369523381e-08,0.0
