,dv,dph,dpg,dqg,dpl,dql
PM,3.125074116459727e-14,6.039364240705173e-16,8.50851703337124e-14,4.309753994572718e-14,4.801231492556301e-12,4.127474043912639e-12
RM,5.674287810472872e-14,3.142786825571081e-16,1.5845529010110454e-13,7.913928639321382e-14,1.1631780157650766e-11,4.4070705644288156e-12
RRM,6.257441756340055e-19,1.4845439842444036e-05,1.8516297196951895e-18,9.038964948430742e-19,1.4930029365720277e-16,7.763115293905299e-17
PBIM,3.1219844334799644e-14,5.982026188920066e-16,8.502469257453325e-14,4.2635737120780675e-14,4.800594009133825e-12,4.117933175203806e-12
RBIM,5.668176086844421e-14,3.203795237577166e-16,1.5833235485100028e-13,7.953536767355772e-14,1.1630447495343357e-11,4.392810634681395e-12
RRBIM,8.371290031127801e-20,4.515355908496549e-19,8.918265692044965e-19,1.701548682317396e-16,9.867620930677837e-17,1.5250335114505074e-17
BF,1.28936625321471e-12,0.007607432576583464,3.073683424360138e-13,1.6812932585456292e-13,2.5471145605692546e-11,2.8853338952984722e-11
RERCM,0.0003167636335783736,0.008082594440944611,0.05628233464130524,0.30615545614123757,0.20763068866192394,0.11342304046848924
RERRM,5.1402278304385403e-05,9.679615992227278e-05,0.0003565783069871313,0.03539165857927039,0.0003565778973515988,0.035391656326222425
RERCBIM,0.05516339596178506,0.11734895443765046,0.005751192142886038,18.885754992808383,0.015207738080318415,44.43999376115356
RERRBIM,5.332028890288986e-09,1.0852438551618356e-12,2.4882283262957875e-06,9.504398506962693e-06,2.5255196305586534e-06,1.2565601356168252e-06
REBF,8.382132502081814e-12,0.007607420448605271,3.07602696169061e-14,1.7539167970867634e-14,1.2468853020445104e-11,1.2851213214757857e-11
MAT,0.0,0.0,0.0,0.0,0.0,0.0
