,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,6.146364160348337e-16,0.031,7.682462599585549e-08,7.682448749726789e-08,1.124553464899302e-31
RM,4.611315543623796e-16,0.016,7.324001660875823e-08,7.323982193635503e-08,3.9576787378845593e-32
RRM,6.771534592219158e-26,0.125,2.625706943537587e-12,2.759568615284813e-12,6.133163805976286e-50
PBIM,6.146797346391856e-16,0.032,7.682634364271357e-08,7.682724942857655e-08,1.1609788892906355e-31
RBIM,4.611046783124964e-16,0.015,7.323918084500836e-08,7.323941450532168e-08,3.710044592476889e-32
RRBIM,7.698367738187557e-12,0.032,1.286079810355889e-09,7.158853145672328e-06,2.2680885445938837e-27
BF,0.0005863258892782652,0.02600002288818359,1.4214935550004026e-07,11.86987784934632,2.5721953329571167e-11
RERCM,2.556173481592242e-10,0.078,6.869500228717448e-06,3.837598711459861e-05,5.2561727420649815e-21
RERRM,0.0005863312721199812,0.094,7.5565567280670015e-06,11.869763818392768,4.943527292352861e-09
RERCBIM,1.7039093104355532e-10,0.031,1.0094324376782801e-05,4.520334139047205e-05,2.4102159989424784e-21
RERRBIM,2.2307711476206692e-09,0.032,0.00020847096607166243,0.00013728761529911704,2.043063840337527e-18
REBF,0.0005863259117009234,0.01799988746643066,6.978383095337937e-09,11.869877637237975,8.741982381309463e-13
MAT,0.0,0.0022723,7.175569166628648e-12,7.175569166628648e-12,0.0
