,dv,dph,dpg,dqg,dpl,dql
PM,5.298566630716149e-13,9.706278667540898e-15,8.718067964142373e-14,1.349010158669055e-14,1.1139998761869423e-10,4.1664128608929554e-10
RM,4.251541078440973e-15,3.9825849174243287e-16,9.137720174643142e-16,3.165843668328503e-16,1.386284854711309e-10,3.838286351017955e-11
RRM,2.4037855931684846e-24,6.271933991939557e-25,9.597567341336892e-24,4.20217182602439e-22,1.458773423778654e-21,1.2823920090499073e-26
PBIM,5.298586913919789e-13,9.70637955415476e-15,8.717945460856481e-14,1.3474181831256423e-14,1.1139969641298733e-10,4.1664291858122245e-10
RBIM,4.251730009816743e-15,3.9823841788125133e-16,9.155135100041574e-16,3.167757927225127e-16,1.3862846524639263e-10,3.8382534361134334e-11
RRBIM,2.8803137605464044e-16,6.079526575322871e-19,5.608947481231605e-13,1.558227295131973e-12,5.611812238934897e-13,1.5587910510098697e-12
BF,3.484019092533897e-13,0.012155664061875328,1.0692570738761033e-14,1.905934629390211e-15,7.519116796030458e-14,7.299528367164963e-13
RERCM,0.002636713422747208,8.230656113847097e-05,1.3098909473578084,3.014842205873192,7.838237108117144,6.0361318571625935
RERRM,0.019444876640591163,0.011047570477565057,18.026646387901614,67.87081819319425,18.169683570418297,172.799162522015
RERCBIM,2.0263541713876487e-09,4.4622418209466955e-12,1.3664264952085323e-05,1.1162192758750997e-05,6.248729686105087e-06,2.1862565026140603e-05
RERRBIM,2.0263541713876487e-09,4.4622418209466955e-12,1.3664264998739168e-05,1.116219283559969e-05,6.248729686105087e-06,2.1862565026140603e-05
REBF,1.0526818989085575e-10,0.012155651451720805,9.169312231241356e-14,2.4908253574951685e-14,1.6966659086356093e-13,3.0823367012667675e-14
MAT,0.0,0.0,0.0,0.0,0.0,0.0
