,dv,dph,dpg,dqg,dpl,dql
PM,1.0601629984964726e-15,1.0827743988228509e-16,1.0825751023226458e-16,4.725847045865586e-17,4.5845583949603786e-12,3.6359438766400383e-13
RM,1.2565414220600492e-15,4.0122905954652806e-17,1.2308626563320307e-16,5.3713402331695237e-17,4.6356497735928e-12,8.600008472118971e-13
RRM,1.3727956743671128e-19,6.317380715774523e-06,9.263410284688395e-21,8.026785959309854e-21,4.519667247103645e-16,1.652985826777724e-16
PBIM,1.030542124074911e-15,1.0336973738487121e-16,1.0546757279343334e-16,4.561306120472985e-17,4.44351281981866e-12,3.5947086980941155e-13
RBIM,1.2267286262808533e-15,3.763812472008081e-17,1.212466597031733e-16,5.213459188361184e-17,4.507769085962572e-12,8.520258555334546e-13
RRBIM,1.3723863124619078e-19,5.145552929414895e-06,1.4429014725450462e-20,7.965780101118175e-21,4.520356475033421e-16,1.6510560071390027e-16
BF,8.268454734035329e-16,1.1198632638230804e-05,7.497366096023589e-17,3.228412474865789e-17,2.7516275551083838e-12,7.85704220171731e-13
RERCM,5.490370468740202e-17,5.146222922429008e-06,2.1976448638055087e-13,9.46507304437495e-14,2.4008622927454183e-13,1.0267505094491497e-13
RERRM,2.5519370904706536e-09,6.317380680636571e-06,7.3381321517513465e-06,3.1598403814334726e-06,7.338017362504054e-06,3.1597949414919453e-06
RERCBIM,1.5343305930850105e-16,5.14556638057718e-06,9.500543328200888e-10,4.09098672440779e-10,1.6641342057975571e-12,4.20670669036308e-13
RERRBIM,3.2365233894505507e-13,5.16208959378947e-06,7.031045871070267e-11,3.0276159063556684e-11,1.0089702177401548e-09,4.1075581642630035e-10
REBF,1.4232808046806306e-19,1.119865074561305e-05,5.089956998193689e-17,2.191759700500638e-17,7.97145153392933e-16,3.032919638005222e-16
MAT,0.0,0.0,0.0,0.0,0.0,0.0
