,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,8.249127898405754e-13,0.031,2.6929266308305458e-06,2.692895402078503e-06,1.854444058914244e-25
RM,9.161873474667794e-13,0.016,3.028054577562493e-06,3.0280454080251573e-06,1.34409620420356e-25
RRM,1.0528967860653237e-06,0.484,1.4280456938492447e-10,7.59315624524053,5.525805599323064e-16
PBIM,8.007114470205884e-13,0.031,2.6565592759842174e-06,2.6565554064601146e-06,1.751766109771005e-25
RBIM,8.935387815831024e-13,0.031,2.9940313005906785e-06,2.994059033488529e-06,2.483086196898251e-25
RRBIM,8.575921550053657e-07,0.047,1.1218222791681276e-10,16.58753723888482,7.500403522862467e-17
BF,1.8664393627494468e-06,0.2259998321533203,3.2900625527932173e-06,17.53789740980093,2.433905331648097e-11
RERCM,8.577039299434015e-07,0.203,1.909397706809288e-10,16.587225119835757,5.514467397445016e-16
RERRM,4.552619575817977e-06,0.688,1.043408944315094e-10,7.59692564417663,2.4828028240340125e-15
RERCBIM,8.578212697567915e-07,0.032,0.0001912578239677467,16.58743670686941,8.708538531514163e-11
RERRBIM,8.606017050156249e-07,0.0280001163482666,0.0003415153517911688,16.579888399035475,1.364438206695349e-10
REBF,1.8664417911310744e-06,0.031,1.240003178262783e-10,17.53791623214552,1.2582789568422344e-16
MAT,0.0,0.0012421,4.224476983368288e-08,4.224476983368288e-08,0.0
