,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,2.794878703413542e-16,0.015,5.6785352478376516e-08,5.678560287963874e-08,1.3518508869622888e-32
RM,3.4142267994538134e-16,0.032,6.510513950955948e-08,6.51053948391711e-08,4.630998029538659e-32
RRM,1.7265320970854172e-18,0.234,2.7623762652306816e-12,2.4284020974651988e-12,2.7101538591162744e-42
PBIM,2.7947729515045826e-16,0.031,5.678402242945829e-08,5.678442921430715e-08,2.793596278495156e-32
RBIM,3.4140103133893046e-16,0.032,6.510281652574029e-08,6.51029920563373e-08,4.6303682708531896e-32
RRBIM,3.610135657861942e-12,0.032,9.78490287927014e-10,5.134909606715858e-06,5.804473358586172e-28
BF,0.0002839536263680817,0.02500009536743164,1.8074464583264088e-07,9.244815145644061,1.1861859006691597e-11
RERCM,1.2563019037779463e-09,0.063,1.5799367391457035e-05,8.705254608268407e-05,1.0885684504630255e-19
RERRM,0.00028395507756030113,0.094,4.01513523599125e-06,9.244783617725043,9.907735880736775e-10
RERCBIM,7.419563292523472e-11,0.015,9.306997221237602e-06,4.224178522737373e-05,4.375437164646525e-22
RERRBIM,7.152270211262088e-10,0.031,0.0001215208368989017,7.692931380048808e-05,2.072756176199128e-19
REBF,0.00028395368242168365,0.01899981498718262,5.507846817520701e-09,9.244837668094831,2.747122463125904e-13
MAT,0.0,0.0013853,2.147406984263217e-08,2.147406984263217e-08,0.0
