,dv,dph,dpg,dqg,dpl,dql
PM,9.528699264043068e-17,2.4718642222047576e-18,1.47472944686789e-17,2.6061472536839627e-18,1.634400276398427e-13,5.868028172991237e-15
RM,2.4419514739183426e-15,2.2373111763093305e-16,2.673534169398672e-16,9.390136648699285e-17,8.322452413810596e-11,2.286324595538299e-11
RRM,4.127334720557849e-19,4.411404933288439e-20,4.444635215135879e-19,8.855314745673356e-20,3.2651272169519164e-17,5.356937654888018e-18
PBIM,9.529030291447212e-17,2.4711935410021446e-18,1.4893910738253548e-17,2.674508385864769e-18,1.634364513196652e-13,5.86338157542021e-15
RBIM,2.4417757381026534e-15,2.2376019265917613e-16,2.6652363203639796e-16,9.611711503360784e-17,8.322458536967373e-11,2.2862828844391853e-11
RRBIM,1.3263084995980506e-16,4.1031021153625107e-19,3.013536286678297e-13,8.76905180955579e-13,2.9599611138760376e-13,8.733946575965153e-13
BF,5.545143638033832e-13,0.007243578234493865,3.3295596350657426e-15,7.370799271721013e-16,2.440120796414533e-12,1.3833620880711694e-14
RERCM,0.0009950887816991623,2.37899474597652e-05,0.7787977006585707,2.051327254995967,2.8827280669996322,3.6312873580447635
RERRM,0.013302648668482587,0.006374257448655289,10.173755316114095,35.672139744505834,9.799750542926153,150.8818053811153
RERCBIM,1.2788022200528795e-09,4.762597907467456e-12,5.688111541455662e-07,2.901610793914273e-07,2.5744995433440764e-06,1.0366230986982051e-05
RERRBIM,1.2788022200528795e-09,4.762597907467456e-12,5.688111411310171e-07,2.901610609537453e-07,2.5744995433440764e-06,1.0366230986982051e-05
REBF,7.044836610273245e-11,0.007243559899844292,1.2586594207013552e-13,3.632482402783357e-14,5.2470555653821566e-14,6.762699183886903e-15
MAT,0.0,0.0,0.0,0.0,0.0,0.0
