,dv,dph,dpg,dqg,dpl,dql
PM,2.0240949583520996e-15,1.8878482031210123e-16,1.2842433499789976e-16,5.5430647411537917e-17,8.63995717422897e-12,7.459196413941825e-13
RM,2.3910639243261774e-15,5.727419322204759e-17,1.448966998908979e-16,6.294431451701611e-17,8.595996395110355e-12,1.792288192887646e-12
RRM,2.0489609496518042e-20,3.9157668344811855e-06,3.9695155160769743e-22,1.373262313944498e-21,6.68619921262313e-17,2.4858682615208222e-17
PBIM,1.957089597365034e-15,1.830527657386768e-16,1.242687926845121e-16,5.34810208334559e-17,8.357623776101882e-12,7.194975800208506e-13
RBIM,2.3028121703892355e-15,5.595998019753486e-17,1.3963563054752216e-16,6.020486041374549e-17,8.289290277642885e-12,1.7185779196804412e-12
RRBIM,2.051681469206841e-20,3.18395536806325e-06,6.269756148698109e-22,5.01400903391253e-22,6.733939062895658e-17,2.455625688291194e-17
BF,3.674256107015078e-16,6.9372984668969585e-06,2.0158023661455718e-17,8.680146806419885e-18,1.0987316804010434e-12,4.426207552068647e-13
RERCM,1.0263256941265629e-09,3.183351731950078e-06,2.7793432091879983e-06,1.1968005673810735e-06,2.7793218133019482e-06,1.1967916537580943e-06
RERRM,1.081022363886092e-09,3.915766287743313e-06,2.8192590434098814e-06,1.2139884996362497e-06,2.81923153417246e-06,1.2139776572158667e-06
RERCBIM,5.100862909338711e-16,3.183968625446928e-06,1.0261540456190532e-09,4.418676316988336e-10,5.93305797491987e-13,2.2039395150361597e-12
RERRBIM,1.6032153163944922e-14,3.1839785688661192e-06,1.43246718697825e-10,6.168310956740992e-11,2.3085100980519005e-11,7.525436749540582e-11
REBF,2.2615945935556593e-20,6.937385002488836e-06,4.806610660554522e-20,2.0697972904316723e-20,7.026817731778802e-17,2.5787453062718382e-17
MAT,0.0,0.0,0.0,0.0,0.0,0.0
