,$\overline{SSE}$,$t[s]$,Inf1,Inf2,$\Pi |x|$
PM,1.5647122583973708e-12,0.031,3.771169204930952e-06,3.7711574986284216e-06,6.898376096686821e-25
RM,1.7318234611883262e-12,0.032,4.237585628179448e-06,4.2376009040843355e-06,9.951582247478591e-25
RRM,6.526278057621547e-07,0.5469999999999999,1.2743174050700024e-10,5.999135992856517,2.72909856778356e-16
PBIM,1.513239874716559e-12,0.031,3.707626907202728e-06,3.7076070376636794e-06,6.448507267792123e-25
RBIM,1.668404468327479e-12,0.031,4.157382283256558e-06,4.157377926092018e-06,8.939279264376497e-25
RRBIM,5.306592280258612e-07,0.047,1.2079777456097673e-10,13.066184904872953,3.9366002165125425e-17
BF,1.1562166681076098e-06,0.2060000896453857,1.7191656015843812e-06,13.813622881377164,5.656293591039393e-12
RERCM,1.8561058835455531e-06,0.157,4.048475625400174e-09,13.073730610063087,1.5423873708815283e-14
RERRM,1.997217340756943e-06,0.75,1.653535572354592e-10,6.002158176728562,1.4866460119286643e-15
RERCBIM,5.309065741466074e-07,0.032,0.00010860798077223094,13.066264378501689,2.410911464994666e-11
RERRBIM,5.307136423658355e-07,0.02300000190734863,0.0004520757587953882,13.065853619099794,7.210030998545961e-11
REBF,1.1562308337641637e-06,0.031,2.3354486747284575e-12,13.813887337179782,1.1563584482428606e-18
MAT,0.0,0.0012983,1.6551546888366556e-08,1.6551546888366556e-08,0.0
